V1,V2,cl,dataset
0.2842553411424506,0.027678165554181323,1,1
0.2714004914961864,0.06069267330862211,1,1
0.3863583591604899,-0.026627265800978184,1,1
0.42058623694475805,0.06100934969522358,1,1
0.4331520811681486,-0.03429452449053127,1,1
0.39047018688640756,0.03481755266143999,1,1
0.4296274772022636,-0.11540032360093738,1,1
0.403381712249278,-8.795920091975648e-4,1,1
0.31209128095469657,0.04976766243479433,1,1
0.2697645374279746,0.024670448939517697,1,1
0.3019689762970622,0.06309884583338453,1,1
0.4277310052108597,0.0017553170031265036,1,1
0.3709857895815789,-0.0051158973887983185,1,1
0.3562662802881603,-0.04182793512357863,1,1
0.3861319304498949,0.06636640429001342,1,1
0.3112919883777711,0.14658310786734294,1,1
0.39164553813096503,-0.018012546232274072,1,1
0.3171676471103936,0.1770967985891572,1,1
0.36361906896340057,0.011810030503381197,1,1
0.34301885115876474,-0.06717790675044787,1,1
0.31889755558633204,-0.058448454736130945,1,1
0.448559629647964,-0.09460864840495822,1,1
0.371416836776197,0.08579091909971827,1,1
0.32179051174019707,0.14750588919607668,1,1
0.3183472844715174,0.044613406460355574,1,1
0.39846513933778743,-0.05582833658693241,1,1
0.357169171159333,0.088095341929406365,1,1
0.25583809107728955,0.1488375045061618,1,1
0.35947727737568835,0.1345708016259596,1,1
0.29185101644154166,0.03141580465464707,1,1
0.3687048835641977,-0.021214132110738897,1,1
0.34952058606824077,0.055189588053714836,1,1
0.4199303345234327,0.029080715938142914,1,1
0.38272384130889936,0.14321721024586093,1,1
0.3317891341352195,0.03408546632318005,1,1
0.4053910405209356,0.04617359913554417,1,1
0.2979189044724309,-0.052824369792644627,1,1
0.41366474411797627,0.06285256013250226,1,1
0.397965769138418,-0.06610200755501319,1,1
0.3203341687913799,-0.01806089431603715,1,1
0.2677165107230489,0.1594367456408457,1,1
0.3467076007259513,-0.05592535024493631,1,1
0.3920948274579528,0.05954649550576486,1,1
0.30901582693843443,0.12342276133815486,1,1
0.3189644019052684,0.021788322639981365,1,1
0.46260829090380895,-0.024633071058236707,1,1
0.4263343816930572,0.06488290856710976,1,1
0.36779780171151333,0.039887107690187176,1,1
0.3568265868964219,0.12673345328933688,1,1
0.2819952002302029,0.1726471215421118,1,1
-0.21136612560215662,-0.4973962708680185,2,1
-0.2239920082444144,-0.3424341257158097,2,1
-0.2637937689756802,-0.3234648812668224,2,1
-0.16908387099934952,-0.45304023130103177,2,1
-0.22605020379356222,-0.3049413313246762,2,1
-0.24478396031106414,-0.5078906550862646,2,1
-0.22033512519453732,-0.4238334717014961,2,1
-0.25436274841920303,-0.3051074886024827,2,1
-0.15557546591745586,-0.3043903739481149,2,1
-0.2021216307252942,-0.4787897899674552,2,1
-0.1436431650153382,-0.29817012710232926,2,1
-0.2641038580712116,-0.3374761059532965,2,1
-0.18739116791846827,-0.2093322874846301,2,1
-0.25409384414633057,-0.48755054242846174,2,1
-0.21954619281166649,-0.32955805332424776,2,1
-0.21831749806602788,-0.4285488639031323,2,1
-0.23541462086827727,-0.34007669840283117,2,1
-0.22313150183024033,-0.42823069281181686,2,1
-0.08833764177172135,-0.3503918917473453,2,1
-0.16255319436087565,-0.4275499644901879,2,1
-0.1351753441059716,-0.4206812700056287,2,1
-0.13873358436612557,-0.3765505522828328,2,1
-0.16883662710392436,-0.43641372398203593,2,1
-0.20516518398236466,-0.4406502819075016,2,1
-0.25538788676702523,-0.29970076162610393,2,1
-0.2291340383984347,-0.4647829729864377,2,1
-0.2212338273496808,-0.5214657103809026,2,1
-0.18823284891621136,-0.22466084710031645,2,1
-0.15963843237540168,-0.6010922718634597,2,1
-0.23951911459467842,-0.5179999076310683,2,1
-0.18972076926718512,-0.5115642643152948,2,1
-0.11723663502815812,-0.5628681332875776,2,1
-0.16850483584652654,-0.329344764565757,2,1
-0.22735781240671932,-0.4322839912326178,2,1
-0.27812323510362086,-0.46394876183298034,2,1
-0.13678054849757773,-0.4118861004099731,2,1
-0.20529857849707997,-0.5139333434080472,2,1
-0.15509115122699052,-0.5718655294003827,2,1
-0.09256186221147168,-0.38619945663107724,2,1
-0.1373119746732569,-0.27347327172079244,2,1
-0.08750749849991062,-0.34821636415349305,2,1
-0.23366255513534237,-0.5396337738531027,2,1
-0.12432511559646374,-0.3277952156022607,2,1
-0.2886157533092491,-0.43494707041154507,2,1
-0.1780019542285772,-0.4447041584786253,2,1
-0.1587964998769797,-0.2562995752097945,2,1
-0.1282934327455828,-0.24485424637868997,2,1
-0.22902116981481369,-0.46704976051833036,2,1
-0.08334443758797112,-0.29243321217146395,2,1
-0.26704170377994607,-0.5418710385920055,2,1
-0.23068179823163198,0.4306289171952271,3,1
-0.2026903488937233,0.31080063938855446,3,1
-0.2212315223756386,0.391534986042379,3,1
-0.11063193760665099,0.38256880346106303,3,1
-0.09203551838960786,0.4413375000042618,3,1
-0.1740213191978117,0.35954059458966486,3,1
-0.10325193257014624,0.5072402984018175,3,1
-0.23826834522621815,0.494759666668511,3,1
-0.18432822418596986,0.3676698816331078,3,1
-0.12702885855995305,0.5761612417567196,3,1
-0.15694563662271477,0.5878120873835665,3,1
-0.09106459420966143,0.45302051491748063,3,1
-0.2324422367612146,0.4012209049854543,3,1
-0.11841959831561394,0.28940578208421536,3,1
-0.11823833356475477,0.3149042327810704,3,1
-0.041743584574891884,0.4950116270180889,3,1
-0.13685288483881575,0.46863775027929655,3,1
-0.0677936105228089,0.4749667188983234,3,1
-0.10561507968158425,0.48233303297695,3,1
-0.18609903415244416,0.40211004645258414,3,1
-0.1217851501151817,0.45801888811756925,3,1
-0.16145552001740016,0.37685130675911116,3,1
-0.08864101424587449,0.3044906438769107,3,1
-0.06244293871393629,0.509100969744145,3,1
-0.14362399506195223,0.39903221159822894,3,1
-0.1253391829679413,0.33981391223488877,3,1
-0.14621808476492448,0.43611899654703845,3,1
-0.17378320877280715,0.39201658716763577,3,1
-0.06851260918041104,0.39093725227146336,3,1
-0.22636204047951067,0.5376067993519401,3,1
-0.17779426503819645,0.3778802678449926,3,1
-0.05835859535500787,0.4382913103150138,3,1
-0.0447238812312118,0.3380818890634939,3,1
-0.030248307034966605,0.40005038986124336,3,1
-0.11667978186882913,0.5080643652326426,3,1
-0.09590000717290677,0.4996285826352025,3,1
-0.03865162193832339,0.36692892993922466,3,1
-0.22729089761135385,0.45684579931019587,3,1
-0.1903901755172366,0.4963258055779886,3,1
-0.07243665128045913,0.29113988965251153,3,1
-0.06925432931624269,0.5407970312874607,3,1
-0.044146092508143386,0.3836079230682205,3,1
-0.16635838245934226,0.5045462028790786,3,1
-0.18169326753698,0.520508353163428,3,1
-0.10731709234690409,0.33410988967919714,3,1
-0.19527813076498957,0.4132926442663523,3,1
-0.09053743014759169,0.411738386028155,3,1
-0.1962475139907253,0.4409022237485943,3,1
-0.11902809957969293,0.542263706847764,3,1
-0.07137744572245787,0.4655579765390103,3,1
0.11241337949733222,0.03205368018038001,1,2
0.09955852985106793,0.0650681879348208,1,2
0.21451639751537147,-0.022251751174779493,1,2
0.24874427529963966,0.06538486432142226,1,2
0.26131011952303007,-0.029919009864332578,1,2
0.21862822524128914,0.039193067287638675,1,2
0.2577855155571452,-0.1110248089747387,1,2
0.2315397506041596,0.003495922617001124,1,2
0.14024931930957818,0.05414317706099302,1,2
0.09792257578285621,0.029045963565716384,1,2
0.13012701465194385,0.06747436045958322,1,2
0.25588904356574127,0.0061308316293251916,1,2
0.1991438279364605,-7.403827625996305e-4,1,2
0.1844243186430419,-0.037452420497379936,1,2
0.21428996880477655,0.07074191891621211,1,2
0.1394500267326527,0.1509586224935416,1,2
0.2198035764858466,-0.013637031606075383,1,2
0.1453256854652752,0.1814723132153559,1,2
0.1917771073182821,0.016185545129579888,1,2
0.17117688951364632,-0.06280239212424918,1,2
0.14705559394121362,-0.05407294010993226,1,2
0.27671766800284553,-0.09023313377875954,1,2
0.1995748751310786,0.09016643372591696,1,2
0.14994855009507865,0.15188140382227536,1,2
0.14650532282639891,0.04898892108655426,1,2
0.226623177692669,-0.051452821960733724,1,2
0.18532720951421452,0.09247085655560505,1,2
0.08399612943217112,0.15321301913236046,1,2
0.1876353157305699,0.13894631625215828,1,2
0.12000905479642324,0.03579131928084576,1,2
0.19686292191907934,-0.01683861748454021,1,2
0.17767862442312238,0.05956510267991352,1,2
